PLACE_NM,TRRSRT_ROAD_NM_ADDR,TRNSPORT_INFO_CN,CRSLK_ADDR,CRSLK_ROAD_NM,CHILD_PRTC_ZONE_AT,CRSLK_LA,CRSLK_LO
달음산,부산광역시 기장군 일광면 화용길 299-106,"대중교통 없음, 주차 달음산자연휴양림 주차장",부산 기장군 정관읍 달산리 1037-3,산단로,N,35.31996,129.20117
신평소공원,부산광역시 기장군 일광면 신평리 11-1,"도시철도 2호선 센텀시티역 하차 - 버스 181번 환승 - 기장시장 하차 -마을버스 기장군3, 기장군8-1 - 신평 하차 도보 4분, 주차 신평소공원 주차장(5대 주차 가능)",부산 기장군 일광면 신평리 29-2,일광로,N,35.29487,129.25933
일광해수욕장,부산광역시 기장군 일광면 삼성3길 17,"도시철도 2호선 해운대역 → 1006, 180번 버스환승 → 일광해수욕장 입구 하차, 버스 188, 180, 1006 일광해수욕장 입구 하차, 마을버스 기장군2, 기장군8-1, 기장군9, 기장군3, 기장군8 일광해수욕장 입구 하차",부산 기장군 일광면 삼성리 103-2,일광로,N,35.26257,129.23155
문동방파제,부산광역시 기장군 일광면 문동리 293-3,"기장군청 버스정류장 180, 188 승차 → 문동 하차 도보 5분, 주차 문동방파제 주차장",부산 기장군 일광면 문중리 202-8,문중길,N,35.30201,129.256568
동백방파제,부산광역시 기장군 일광면 동백리 233-44,"기장군청 정류장 버스 188, 180 승차 → 동백 하차, 주차 동백항",부산 기장군 일광면 동백리 213-2,일광로,N,35.28742,129.25664
기장향교,부산광역시 기장군 기장읍 차성로417번길 35,마을버스 기장군6 문화그린맨션 하차 도보 3분,부산 기장군 기장읍 교리 48-1,차성로,Y,35.25699,129.21593
기장시장,부산광역시 기장군 기장읍 읍내로104번길 16,"버스 188, 기장군11, 기장군2(학리), 기장군3(서생) 기장시장?농협 하차, 동해선 기장역 1분 출구 도보 6분, 버스 139, 181, 182, 36, 39, 1003 기장초등학교 하차",부산 기장군 기장읍 대라리 425-2,차성로,N,35.24317,129.21467
해동용궁사,부산광역시 기장군 기장읍 용궁길 86,"도시철도 2호선 해운대역 7번 출구 → 181, 100, 해운대 9 버스 환승 → 해동용궁사 하차, 동해선 오시리아역 1번 출구 → 오시리아역 버스정류장 139 버스 환승 → 해동용궁사 하차, 부산시티투어버스 부산역(레드라인) → 해운대해수욕장 버스 환승(블루라인 ) → 해동용궁사 하차, 주차 해동용궁사 주차장 (유료)",부산 기장군 기장읍 시랑리 706,기장해안로,N,35.19411,129.22046
국립부산과학관,부산광역시 기장군 기장읍 동부산관광6로 59,"도시철도 동해선 오시리아역 1번 출구 → 버스 185 환승 → 국립부산과학관 하차, 도시철도 2호선 장산역 5번?7번 출구 → 버스 185 환승 → 국립부산과학관 하차, 주차 국립부산과학관 주차장(유료)",부산 기장군 기장읍 내리 813,기장대로,Y,35.20542,129.20642
IKEA동부산점,부산광역시 기장군 기장읍 동부산관광3로 17,"동해선 오시리아역 1번 출구 도보 17분, 버스 100, 181, 185, 해운대구9 롯데아울렛(동부산관광단지) 하차 도보 7분, 주차 이케아동부산점 주차장",부산 기장군 기장읍 당사리 523,동부산관광1로,Y,35.1893,129.20897
사라수변공원,부산광역시 기장군 기장읍 대라리 805-2,"동해선 기장역 1번 출구 → 기장중학교 정류장 마을버스 기장군11 승차 → 기장고등학교 하차 도보 10분, 주차 사라수변공원 주차장(좁음)",부산 기장군 기장읍 대라리 254,대청로,Y,35.23859,129.21024
롯데프리미엄아울렛 동부산점,부산광역시 기장군 기장읍 당사리 64,"동해선 오시리아역 1번 출구 도보 17분, 버스 100, 181, 185, 해운대구9 롯데아울렛(동부산관광단지) 하차 도보 7분, 주차 롯데아울렛 주차장",부산 기장군 기장읍 당사리 523,동부산관광3로,Y,35.19229,129.21036
오랑대공원,부산광역시 기장군 기장읍 기장해안로 340,"버스 100, 139, 181 해광사 하차 → 도보 4분, 주차 오랑대공원 주차장",부산 기장군 기장읍 연화리 507,기장해안로,N,35.20532,129.22423
이터널저니,부산광역시 기장군 기장읍 기장해안로 268-31,"동해선 오시리아역 하차 → 139, 181, 100 버스 환승 → 동암후문 하차, 주차 힐튼부산 주차장",부산 기장군 기장읍 시랑리 706,기장해안로,N,35.19764,129.22293
국립수산과학관,부산광역시 기장군 기장읍 기장해안로 216,"동해선 오시리아역 하차 → 버스 139 환승 국립수산과학관 하차, 버스 100, 139, 181 국립수산과학관 하차, 부산시티투어버스 블루라인(해운대) → 국립수산과학관 하차, 주차 국립수산과학관 주차장(무료)",부산 기장군 기장읍 시랑리 706,기장해안로,N,35.19415,129.22027
요산문학관,부산광역시 금정구 팔송로 60-6,"도시철도 1호선 범어사역 1번 출구 도보 12분, 버스 29, 51, 80 남산동 하차",부산 금정구 남산동 1003,금샘로,Y,35.27242,129.0851
스포원파크,부산광역시 금정구 체육공원로399번길 324,"도시철도 1호선 노포역 하차 1번 출구 → 버스 환승 29, 37, 49, 51, 80, 90, 131, 148, 301, 금정구2-2 금정공영차고지 하차 도보 12분",부산 금정구 노포동 287-4,체육공원로,N,35.2921,129.09949
이화풍류원,부산광역시 금정구 장전로 33-6(이화풍류원),"도시철도 1호선 부산대역 1번 출구 도보 9분, 버스 8, 100, 100-1, 110, 110-1, 111-1, 131, 144 부산대 후문 하차",부산 금정구 장전동 334-39,장전로,Y,35.22898,129.08451
회동수원지,부산광역시 금정구 수원지로,"도시철도 1호선 범어사역 1번 출구 → 버스 환승 금정구3-1 → 상현마을 하차, 버스 29, 49, 51, 80, 131, 301 범어사입구 하차 → 환승 금정구3-1 → 상현마을 하차, 주차 선동주차장(무료)",부산 금정구 선동 338-2,상현로,N,35.26631,129.11057
NC백화점 부산대점,부산광역시 금정구 부산대학로 63번길 2,"도시철도 1호선 부산대역 3번 출구 도보 11분, 버스 100, 110, 111-1, 121, 131, 144, 16, 29, 301, 49, 51, 77, 80, 100-1 부산대학교 정문 하차 도보 3분, 주차 NC백화점 부산대점 주차장",부산 금정구 장전동 402-6,부산대학로,Y,35.2317,129.0843
범어사,부산광역시 금정구 범어사로 250,"도시철도 1호선 범어사역 5, 7번 출구 → 버스 환승 90 범어사주차장 하차, 주차 범어사 주차장(유료)",부산 금정구 청룡동 461-1,범어사로,N,35.2795,129.07725
금정산,부산광역시 금정구 금성동,"범어사 출발 기준 도시철도 1호선 범어사역 5번, 7번 출구 하차, 90번 버스 범어사 매표소 하차",부산 금정구 남산동 1006,금샘로,Y,35.26652,129.0848
회동마루,부산광역시 금정구 금사로 217,"버스 179, 184, 42, 43, 5-1, 99 회동본동 하차 도보 5분",부산 금정구 회동동 212,금사로,Y,35.22831,129.11966
가덕도 연대봉,부산광역시 강서구 천성동,도시철도 1호선 하단역 3번 출구 → 버스 520 환승 → 전망대 정류장 하차 연대봉까지 도보 이동,부산 강서구 송정동 1706,가락대로,N,35.08677,128.8394
대저생태공원,부산광역시 강서구 대저1동 1-12번지,"도시철도 3호선 강서구청역 3번 출구 → 강서구청역 정류장 버스 125번 환승 → 부산혜원학교 하차 도보 8분, 주차 대저생태공원 공영주차장",부산 강서구 대저1동 2892-1,공항로,N,35.20109,128.97008
롯데면세점 김해공항점,부산광역시 강서구 공항진입로 108 김해공항 국제청사 2층,"부산김해경전철 공항역 1번 출구 도보 5분, 버스 307, 1009, 강서구11, 강서구13 국제선청사 하차 도보 3분, 주차 김해국제공항 국제선 여객주차장",부산 강서구 대저2동 2378-1,공항진입로,N,35.17292,128.95056
렛츠런파크,부산광역시 강서구 가락대로 929,"좌석버스 220, 221 렛츠런파크 입구 하차, 시내버스 4 렛츠런파크 하차, 마을버스 강서구7, 강서구7-2 렛츠런파크입구 하차, 셔틀버스 (금~일 운행), 하단/주례 노선 : 도시철도 하단역 5번 출구, 주례역 8번 출구, 대저/김해 부원 노선 : 도시철도 대저역 1번 출구, 김해 부원역 1번 출구",부산 기장군 기장읍 청강리 5-2,기장대로,Y,35.24285,129.22049
렛츠런파크부산경남,부산광역시 강서구 가락대로 929,"버스 1005, 마을버스 7,7-2 렛츠런파크관람대 하차 후 도보 1분",부산 강서구 범방동 314-1,가락대로,N,35.15108,128.88036
대항어촌마을,부산광역시 강서구 가덕해안로1207번길 9-2,"도시철도 1호선 하단역 → 버스 520 환승 → 대항마을 정류장 하차, 도보 4분, 주차 부산 강서구 대항동 산13-26 (대항공영주차장)",부산 강서구 대항동 416-3,가덕해안로,N,35.01222,128.82766
가덕도,부산광역시 강서구 가덕해안로 21,도시철도 1호선 하단역 하차 → 버스 520 환승 → 동중마을 정류장 하차,부산 강서구 송정동 1707-1,가락대로,N,35.08849,128.8397
부산그린레일웨이,부산 해운대구 해운대해변로 85,"해운대블루라인파크 미포정거장, 부산광역시 해운대구 달맞이길62번길 13, 도시철도 2호선 중동역 7번 출구 도보 18분, 주차 해운대블루라인파크 미포정거장 주차장",부산 해운대구 우동 977-8,해운대로,Y,35.16242,129.14512
부산영화체험박물관,부산 중구 대청로126번길 12,"도시철도 1호선 중앙역 5번 출구 도보 5분, 버스 126, 15, 186, 81, 86 백산기념관 하차 도보 3분, 주차 부산영화체험박물관 주차장(1시간 무료)",부산 중구 대청동1가 50-1,대청로,Y,35.10284,129.03275
부산근대역사관,부산 중구 대청로 104,"도시철도 1호선 중앙역 5번 출구 도보 7분, 버스 40, 81 국제시장 부산근대역사관 하차, 버스 15, 86, 126, 186 국제시장 하차",부산 중구 대청동2가 11-2,대청로,Y,35.10296,129.03154
절영해안산책로,부산 영도구 해안산책길 52 해안산책길 52,"버스 508, 6, 7, 70, 71, 82, 85, 9 영도구1, 영도구5 부산보건고등학교 하차",부산 영도구 영선동4가 261-1,절영로,Y,35.08204,129.04138
흰여울문화마을,부산 영도구 영선동4가 1044-6,"도시철도 1호선 남포역 6번 출구 → 7, 71, 508 버스 환승 → 영선동 백련사 하차, 버스 7,71,508 영선동 백련사 하차, 부산시티투어버스 부산역(점보버스) → 흰여울문화마을 하차, 주차 절영해안산책로 입구 공영 주차장 (유료)",부산 영도구 영선동4가 565-2,절영로,Y,35.08006,129.04421
F1963,부산 수영구 구락로123번길 20,"도시철도 3호선 망미역 4번 출구 → 수영구2 마을버스 환승 → 산정아파트 하차 도보 2분, 버스 54 고려제강 하차 도보 2분, 주차 F1963 주차장",부산 수영구 망미동 601-1,구락로,Y,35.17717,129.10733
민락수변공원,부산 수영구 광안해변로 361,"도시철도 2호선 광안역 3번 출구 도보 20분, 버스 41, 83-1, 210 민락수변공원 하차, 주차 인근공영주차장",부산 수영구 민락동 110-7,광안해변로,Y,35.15678,129.13346
광안리 해수욕장,부산 수영구 광안해변로 219,"도시철도 1호선 부산역 7번 출구 → 66, 88, 101 버스 환승 → 태종대(태종대온천) 하차, 버스 8, 30, 66, 88, 101, 186 태종대(태종대온천) 하차, 주차 정문입구 주차장(버스전용), 제7주차장, 자유랜드 주차장 (유료)",부산 수영구 민락동 186,광안해변로,Y,35.15444,129.11927
암남공원,부산 서구 암남공원로 185,"도시철도 1호선 자갈치역 하차- 1번출구- 자갈치역, 충무동교차로 정류장까지 도보 이동- 버스(7번) 환승- 암남공원 정류장 하차, 주차 암남공원 공영주차장 이용(유료)",부산 서구 암남동 725,원양로,N,35.06198,129.01123
아미동 비석문화마을,부산 서구 아미동2가 213-39,"도시철도 1호선 토성역 8번 출구 도보 15분, 마을버스 사하구1-1 서구2 산상교회(비석문화마을) 하차, 주차 아미골 공영주차장",부산 사하구 감천동 10-140,옥천로,N,35.09717,129.01019
구덕야영장,부산 서구 서대신동3가 산 2-1,도시철도 1호선 서대신역 4번 출구 → 마을버스 서구1 환승 → 구덕꽃마을 하차,부산 서구 서대신동3가 8-19,꽃마을로,Y,35.1275,129.00719
부산도서관,부산 사상구 사상로310번길 33,"도시철도 2호선 덕포역 2번 출구 도보 3분, 버스 15, 31, 33, 59, 62, 110, 148-1, 160, 169, 338, 1004(급행), 사상구1-1 덕포시장 하차, 주차 부산도서관 주차장",부산 사상구 덕포동 430,삼덕로,Y,35.17224,128.98336
성지곡수원지,부산 부산진구 새싹로 295,"도시철도 1호선 서면역 13번 출구 → 영광도서 뒤 맞은편 정류장 버스 54, 63, 81, 133 어린이대공원 하차, 도보 이동, 주차 어린이대공원 주차장(유료)",부산 부산진구 초읍동 43-5,성지로,Y,35.18282,129.04711
금강공원,부산 동래구 우장춘로 155,"도시철도 1호선 온천장역 1번 출구 도보 15분, 버스 46, 77, 80, 110, 110-1, 121, 131, 1002(심야) 금강공원 입구 하차 도보 5분, 주차 금강공원 공영주차장(유료)",부산 동래구 온천동 293-14,우장춘로,N,35.21976,129.0765
황령산 전망쉼터,부산 남구 황령산로 391-39,"도시철도 2호선 금련산역 6번 출구 하차 택시 이용 10~15분 소요, 도시철도 1호선 시청역 6번 출구 하차 → 마을버스 연제구1 환승 → 물만골종점 하차 도보 20분, 주차 황령산 전망쉼터 주차장",부산 연제구 연산동 2158,연수로,N,35.17441,129.08979
소막마을,부산 남구 우암동 189-414,"버스 남구3, 68, 134, 138-1 남부중앙새마을금고 정류장 하차",부산 남구 우암동 238,우암로,Y,35.12634,129.06793
부산대학교 앞,부산 금정구 장전온천천로 48(도시철도 부산대역),도시철도 1호선 부산대역 3번 출구,부산 금정구 부곡동 398,부곡온천천로,Y,35.22925,129.08978
대저생태공원캠핑장,부산 강서구 대저1동 1-5,도시철도 3호선 강서구청역 3번 출구 → 강서구청역 정류장 버스 125번 환승 → 부산혜원학교 하차 도보 8분,부산 강서구 대저1동 2523,공항로,Y,35.21567,128.98919
흰여울터널,부산광역시 영도구 영선동4가 1210-38,"도시철도 1호선 남포역 6번 출구 → 영도대교(남포역) 정류장 버스 환승 508, 71, 7 → 백련사 정류장 하차, 도보 5분, 주차 신선3동공영주차장(유료)",부산 영도구 영선동4가 565-2,절영로,Y,35.08034,129.04299
고우니생태길,부산광역시 사하구 다대동,"도시철도 1호선 다대포해수욕장역 2번 출구 도보 5분, 주차 다대포해수욕장 공영주차장(유료)",부산 사하구 다대동 1543,다대로,Y,35.04847,128.96498
신호공원,부산광역시 강서구 신호산단1로72번길 46,"도시철도 1호선 하단역 3번 출구 → 하단역 정류장 버스 환승 58-1, 58-2, 마을버스 강서구9-2 → 의창수협 정류장 하차, 도보 10분",부산 강서구 신호동 303,신호산단1로,Y,35.08132,128.87339
소담공원,부산광역시 강서구 신호동 263,신호공원에서 도보 10분,부산 강서구 신호동 303,신호산단2로,Y,35.08132,128.87339
천마산전망대,부산광역시 서구 남부민동 산 4-35,"도시철도 1호선 토성역 10번 출구 → 부산대학교병원 정류장 버스 134번 환승 → 동산교회 하차 → 도보 10분, 주차 (구)감정초등학교 공영주차장(유료)",부산 서구 남부민동 50-64,해돋이로,Y,35.09165,129.01982
영주하늘눈전망대,부산광역시 중구 영주동 91-7,"도시철도 1호선 부산역 3번 출구 → 버스 43번 환승 → 중앙공원?민주공원입구 하차, 도시철도 1호선 부산역 6번 출구 → 버스 508번 환승 → 중앙공원?민주공원입구 하차, 주차 중앙공원 공영주차장(유료)",부산 중구 영주동 92,중앙공원로,Y,35.11427,129.02979
이기대 몽돌해변,부산광역시 남구 용호동 산25 이기대해안산책로 해변,"도시철도 2호선 경성대?부경대역 5번 출구 → 버스 환승 20 22 24 27 39 131 → 용호2동주민센터 정류장 하차, 도보 30분(택시 이용 13분), 주차 이기대 제2공영주차장(유료)",부산 남구 용호동 12-1,이기대공원로,Y,35.12509,129.11633
청사포 몽돌해변,부산광역시 해운대구 중동 618-4,"도시철도 2호선 장산역 5번 출구 → 마을버스 해운대구2 환승 → 청사포 슈퍼 하차 도보 6분, 부산시티투어버스 레드라인(부산역) → 블루라인 환승(해운대해수욕장) → 청사포 하차, 주차 청사포 공영주차장",부산 해운대구 중동 456,청사포로,Y,35.1625,129.18743
태종대등대 자갈마당,부산광역시 영도구 전망로 120,"도시철도 1호선 부산역 7번 출구 → 66, 88, 101 버스 환승 → 태종대(태종대온천) 하차, 버스 8, 30, 66, 88, 101, 186 태종대(태종대온천) 하차, 주차 태종대 주차장(유료)",부산 영도구 동삼동 1023-1,태종로,N,35.06237,129.08119
몰운대 몽돌해변,부산광역시 사하구 다대동 산144,"도시철도 1호선 다대포해수욕장역 2번 출구, 도보 27분, 버스 11, 2, 3, 338, 96, 96-1, 1000 다대포해수욕장 하차, 도보 27분, 주차 다대포해수욕장 공영주차장(유료)",부산 사하구 다대동 460-1,다대로,Y,35.04763,128.96797
용소웰빙공원,부산 기장군 기장읍 서부리 산7-2,"동해선 기장역 1번 출구, 39번 버스 환승 기장초등학교 하차 도보 12분",부산 기장군 기장읍 서부리 77-7,읍내로,Y,35.24592,129.20934
광안리 민락항 방파제,부산 수영구 민락동 113-52,"도시철도 2호선 광안역 5번 출구, 83, 210 버스 환승 민락동차고지, 민락매립지공영주차장 하차 도보 8분",부산 수영구 민락동 181-75,광안해변로,N,35.15642,129.12574
남치이 인문학거리,부산 수영구 수영로427번길 15,"도시철도 2호선 남천역 2번 출구, 도로 4분",부산 수영구 남천동 78,수영로,Y,35.14414,129.10932
송도 구름산책로,부산 서구 암남동 129-4,"도시철도 1호선 남포동역 8번 출구, 6번 버스 환승 암남동주민센터 하차 도보 11분",부산 서구 암남동 124-60,송도해변로,N,35.07611,129.0229
부산현대미술관,부산 사하구 낙동남로 1191,"도시철도 1호선 하단역 5번 출구, 58-2 버스 환승 부산현대미술관 하차 도보 3분",부산 사하구 하단동 1149-13,낙동남로,N,35.10789,128.94587
다대포해변공원,부산광역시 사하구 몰운대1길 14,"도시철도 1호선 다대포해수욕장역 2번 출구 도보 8분, 버스 11, 2, 3, 338, 96, 96-1, 1000 다대포해수욕장 하차, 주차 다대포해수욕장 공영주차장(유료)",부산 사하구 다대동 460-1,다대로,Y,35.047552,128.96791
배산숲길,부산광역시 연제구 연산동,"도시철도 3호선 배산역 6번 출구 도보 20분, 버스 1, 131, 141, 20, 5-1, 51, 57, 62, 63 배산역 하차 도보 20분, 주차 인근 주차장",부산 연제구 연산동 339-61,고분로,Y,35.1859,129.09342
해운대수목원,부산광역시 해운대구 석대동 26,"도시철도 4호선 반여농산물시장역 2번 출구 도보 35분, 버스 36, 115-1, 129-1, 183, 189, 189-1 석대역 하차, 도보 30분, 주차 해운대수목원 주차장, 해운대수목원 ↔ 도시철도 4호선 반여농산물시장역 무료 셔틀버스 운행, 운행 요일 : 매주 화, 수, 목, 토, 일 (월, 금은 운행 안 함) 무료 셔틀버스 왕복 10:00 ~ 16:00까지 6차례 운행 반여농산물시장역 1번 출구 출발 : 10:00, 11:00, 13:00, 14:00, 15:00, 16:00 해운대수목원 입구 출발 : 10:30, 11:30, 13:30, 14:30, 15:30, 16:30",부산 해운대구 석대동 471-2,석대로,N,35.22002,129.12766
영화의 전당,부산광역시 해운대구 수영강변대로 120(영화의 전당),"영화의 전당 도시철도 2호선 센텀시티역 12번 출구 도보 12분 버스 115, 181, 307,해운대구3-1, 해운대구3-2 시청자미디어센터 하차",부산 해운대구 우동 1524,센텀서로,N,35.17064,129.13118
삼락생태공원,부산광역시 사상구 삼락동 686 삼락생태공원,"부산김해경전철 괘법 르네시 역 1번 출구 도보 16분 버스 123, 126 삼락생태공원 하차 도보 7분",부산 사상구 삼락동 438,낙동대로,Y,35.1701,128.97684
금강공원,부산광역시 동래구 우장춘로 155,"지하철 온천장역 하차, 1번출구에서 도보 15분 거리에 위치.",부산 동래구 온천동 293-14,우장춘로,N,35.2197,129.07649
두구화훼단지,부산광역시 금정구 두구로 8 (두구화훼단지),"도시철도 1호선 노포역 1번 출구 → 버스 50, 58, 59, 61, 17 환승, 두구동 입구 하차, 주차 두구화훼단지 주차장",부산 금정구 두구동 1321-8,중앙대로,N,35.29783,129.10325
누리바라기전망대,부산광역시 서구 남부민동 50-620,도시철도 1호선 자갈치역 2번 출구에서 도보로 31분,부산 서구 남부민동 50-482,해돋이로,Y,35.0909,129.02161
게네랄파우제,부산 중구 광복로49번길 31 2층,도시철도 1호선 중앙역 5번 출구에서 도보 12분 거리에 위치,부산 중구 대청동2가 20-4,대청로,Y,35.10294,129.02999
범리단길,부산광역시 금정구 범어사로 244,"버스 90 하마마을 하차, 주차 인근 주차장",부산 금정구 청룡동 462-1,범어사로,N,35.27914,129.07665
감천문화마을,부산광역시 사하구 감내2로 203,"도시철도 1호선 괴정역 6번 출구 → 마을버스 환승 사하1, 사하1-1 → 감정초등학교 하차 도보 5분, 1호선 토성역 6번 출구 → 마을버스 환승 사하1-1, 서구2, 서구2-2 → 감정초등학교 하차 도보 5분, 주차 감천2공영주차장",부산 사하구 감천동 13-1231,옥천로,N,35.09736,129.01057
병산저수지,부산광역시 기장군 정관읍 용수리,"기장시장 정류장 버스 182 승차 → 현진에버빌후문사거리 하차 → 도보 30분, 주차 인근 주차장 이용",부산 기장군 정관읍 모전리 796,정관2로,Y,35.33501,129.16958
고은사진미술관,부산광역시 해운대구 해운대로 452번길 16,부산 2호선 동백역 3번 출구에서 도보 13분,부산 해운대구 우동 1002-2,해운대로,N,35.16336,129.14181
서면미술관,부산광역시 부산진구 동천로 58,도시철도 1호선 부산역역 1번 출구에서 도보 25분,부산 부산진구 부전동 572-2,동천로,N,35.15356,129.06236
역사의디오라마,부산광역시 중구 영주로 93,도시철도 1호선 부산역역 1번 출구에서 도보 25분,부산 중구 영주동 295,영주로,N,35.11489,129.03302
하늘눈전망대,부산광역시 중구 영주동 91-7,도시철도 1호선 부산역역 1번 출구에서 도보 29분,부산 중구 영주동 295,영주로,N,35.11489,129.03302
두구동 연꽃소류지,부산광역시 금정구 두구동,"도시철도 1호선 노포역 1번 출구 → 마을버스 금정구2-2, 기장군2-3 환승 → 조리 하차 도보 5분, 주차 인근주차장",부산 금정구 두구동 1042-2,체육공원로,Y,35.30302,129.11203
누나의길,부산광역시 동구 범곡북로 22-12,"도시철도 2호선 개금역 2번 출구 → 개금초등학교 정류장 → 버스 169, 167, 160, 138-1 환승 → 한국신발관 하차, 주차 한국신발관 주차장",부산 동구 범일동 1484-11,망양로,Y,35.14202,129.05363
문화공감 수정,부산광역시 동구 홍곡로 75,"도시철도 1호선 부산진역 1번 출구 도보 7분, 버스 103 경남여중 하차 59, 67, 81, 167 고관입구 하차, 부산역에서 택시로 기본요금",부산 동구 수정동 1097,홍곡로,Y,35.12595,129.0443
영도대교,부산광역시 영도구 태종로 46,"도시철도 1호선 남포동 6, 8번출구 도보 4분, 버스 6, 7, 9, 71, 508, 82, 85, 113, 66, 186, 30, 8, 190, 88, 30 영도대교 하차",부산 영도구 대교동1가 190-1,태종로,N,35.09457,129.03683
민락수변공원,부산 수영구 광안해변로 361,"도시철도 2호선 광안역 3번 출구 도보 20분, 버스 41, 83-1, 210 민락수변공원 하차, 주차 인근공영주차장",부산 수영구 민락동 110-7,광안해변로,N,35.15669,129.13344
대룡마을,부산광역시 기장군 장안읍 대룡1길 17,"버스 187 대룡마을 하차, 주차 대룡마을 공영주차장(무료)",부산 기장군 장안읍 명례리 141,기장대로,N,35.3718,129.26138
영도피아크,부산 영도구 해양로195번길 180,"버스 66 미창석유 하차, 버스113,30,8,190,88 동삼삼거리 정류장 하차, 버스 186 영도대교 주차장 하차",부산 영도구 동삼동 201-42,해양로,N,35.08951,129.07135
안용복기념 부산포개항문화관,부산 동구 증산로 100 좌천동 722,좌찬역 5번 출구 도보 10분거리,부산 동구 좌천동 786-1,증산로,N,35.13677,129.04783
